Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Angela Alsobrooks,Democratic,"528,657","522,328","495,660","38,162","1,584,807",54.14%
Larry Hogan,Republican,"433,416","582,956","223,278","28,816","1,268,466",43.33%
Mike Scott,Libertarian,"20,188","36,032","9,353","2,004","67,577",2.31%
Patrick J. Burke (Write In),Other Candidates,344,305,39,4,692,0.02%
Billy Bridges (Write In),Unaffiliated,9,24,5,1,39,0.00%
Irwin William Gibbs (Write In),Unaffiliated,1,0,1,0,2,0.00%
Christy Renee Helmondollar (Write In),Unaffiliated,0,1,0,1,2,0.00%
Robin Rowe (Write In),Unaffiliated,3,6,1,0,10,0.00%
Other Write-Ins,,"2,129","2,459","1,096",117,"5,801",0.20%
Totals,,"984,747","1,144,111","729,433","69,105","2,927,396",100.00%
